"Making A Personal Website (Yet Again!)",making-a-personal-website-yet-again,"2024-10-05 22:33"
"Bond, Skywalker, and Why I Started a Blog",bond-skywalker-and-why-i-started-a-blog,"2023-06-19 16:30"
"Why and How I Reference",why-and-how-i-reference,"2025-02-04 02:16"
"Man Meets Expectations at Half-Marathon",man-meets-expectations-at-half-marathon,"2025-10-20 00:13"
"Rules for Personal Code",rules-for-personal-code,"2025-10-27 14:49"
"A Time and a Place",time-and-place,"2026-01-31 17:20"
